#plotCorrelation --outFileCorMatrix
	'Lamina_CP_Tissue'	'Lamina_CP_Tissue_40M'	'Lamina_CP_Tissue_50M'	'Lamina_CP_Tissue_60M'	'Lamina_GS_Tissue'	'Lamina_GS_Tissue_40M'	'Lamina_GS_Tissue_50M'	'Lamina_GS_Tissue_60M'	'Liver_CP_Tissue_40M'	'Liver_CP_Tissue_50M'	'Liver_CP_Tissue_60M'	'Liver_GS_Tissue'	'Liver_GS_Tissue_40M'	'Liver_GS_Tissue_50M'	'Liver_GS_Tissue_60M'	'Liver_CP_Nuclei'	'Liver_CP_Nuclei_60M'	'Liver_CP_Nuclei_40M'	'Liver_CP_Nuclei_50M'	'Liver_CP_NucleiAM'	'Liver_CP_NucleiAM_40M'	'Liver_CP_NucleiAM_50M'	'Liver_CP_NucleiAM_60M'	'Liver_GS_NucleiAM_40M'	'Liver_GS_NucleiAM'	'Liver_GS_NucleiAM_50M'	'Liver_GS_NucleiAM_60M'	'Liver_GS_Nuclei'	'Liver_GS_Nuclei_40M'	'Liver_GS_Nuclei_50M'	'Liver_GS_Nuclei_60M'	'Liver_GS_TissueAM_40M'	'Liver_GS_TissueAM_50M'	'Liver_GS_TissueAM'	'Liver_GS_TissueAM_60M'	'Liver_CP_TissueAM'	'Liver_CP_TissueAM_60M'	'Liver_CP_TissueAM_40M'	'Liver_CP_TissueAM_50M'	'Lamina_CP_TissueAM'	'Lamina_CP_TissueAM_60M'	'Lamina_CP_TissueAM_40M'	'Lamina_CP_TissueAM_50M'	'Lamina_GS_TissueAM_40M'	'Lamina_GS_TissueAM_50M'	'Lamina_GS_TissueAM'	'Lamina_GS_TissueAM_60M'	'Lamina_GS_Nuclei_40M'	'Lamina_GS_Nuclei_50M'	'Lamina_GS_Nuclei_60M'	'Lamina_CP_Nuclei'	'Lamina_CP_Nuclei_40M'	'Lamina_CP_Nuclei_50M'	'Lamina_CP_Nuclei_60M'	'Lamina_GS_NucleiAM_40M'	'Lamina_GS_NucleiAM_50M'	'Lamina_GS_NucleiAM'	'Lamina_GS_NucleiAM_60M'	'Lamina_CP_NucleiAM_40M'	'Lamina_CP_NucleiAM_50M'	'Lamina_CP_NucleiAM'	'Lamina_CP_NucleiAM_60M'	'Liver_CP_Tissue'	'Lamina_GS_Nuclei'
'Liver_GS_TissueAM_60M'	0.9115	0.8930	0.8974	0.9008	0.8533	0.8239	0.8285	0.8365	0.9437	0.9468	0.9475	0.9489	0.9427	0.9444	0.9452	0.9128	0.9105	0.9077	0.9077	0.9795	0.9774	0.9780	0.9785	0.9855	0.9862	0.9855	0.9859	0.9709	0.9676	0.9686	0.9686	0.9987	0.9993	0.9998	1.0000	0.9774	0.9770	0.9763	0.9766	0.6671	0.6620	0.6497	0.6544	0.6350	0.6487	0.6602	0.6569	0.6371	0.6439	0.6487	0.7746	0.7531	0.7600	0.7625	0.1772	0.1790	0.1809	0.1781	0.2200	0.2215	0.2266	0.2245	0.3867	0.3407
'Liver_CP_TissueAM'	0.9268	0.9084	0.9124	0.9156	0.8617	0.8322	0.8366	0.8444	0.9631	0.9657	0.9670	0.9469	0.9410	0.9424	0.9428	0.9335	0.9306	0.9286	0.9292	0.9871	0.9850	0.9856	0.9861	0.9797	0.9810	0.9805	0.9805	0.9712	0.9678	0.9685	0.9687	0.9764	0.9770	0.9776	0.9774	1.0000	0.9996	0.9986	0.9992	0.6743	0.6691	0.6565	0.6619	0.6388	0.6520	0.6638	0.6600	0.6179	0.6246	0.6294	0.7763	0.7550	0.7613	0.7640	0.1737	0.1756	0.1774	0.1747	0.2204	0.2220	0.2272	0.2246	0.3940	0.3334
'Liver_CP_TissueAM_60M'	0.9264	0.9080	0.9120	0.9152	0.8614	0.8319	0.8363	0.8441	0.9627	0.9653	0.9666	0.9466	0.9407	0.9421	0.9425	0.9331	0.9302	0.9282	0.9289	0.9867	0.9846	0.9852	0.9857	0.9794	0.9806	0.9801	0.9802	0.9708	0.9674	0.9682	0.9683	0.9760	0.9766	0.9772	0.9770	0.9996	1.0000	0.9981	0.9989	0.6740	0.6688	0.6562	0.6616	0.6385	0.6517	0.6635	0.6597	0.6177	0.6245	0.6293	0.7759	0.7547	0.7610	0.7636	0.1737	0.1755	0.1774	0.1747	0.2203	0.2220	0.2271	0.2245	0.3938	0.3333
'Liver_CP_TissueAM_40M'	0.9253	0.9069	0.9109	0.9141	0.8606	0.8310	0.8354	0.8432	0.9617	0.9643	0.9657	0.9458	0.9399	0.9412	0.9417	0.9320	0.9291	0.9271	0.9278	0.9857	0.9836	0.9842	0.9847	0.9785	0.9797	0.9792	0.9793	0.9699	0.9665	0.9672	0.9674	0.9753	0.9758	0.9764	0.9763	0.9986	0.9981	1.0000	0.9979	0.6733	0.6682	0.6556	0.6610	0.6380	0.6512	0.6629	0.6592	0.6174	0.6241	0.6289	0.7753	0.7541	0.7604	0.7631	0.1737	0.1755	0.1774	0.1747	0.2202	0.2219	0.2270	0.2245	0.3933	0.3331
'Liver_CP_TissueAM_50M'	0.9260	0.9076	0.9116	0.9148	0.8611	0.8315	0.8360	0.8437	0.9624	0.9650	0.9663	0.9463	0.9404	0.9418	0.9423	0.9327	0.9297	0.9277	0.9284	0.9862	0.9841	0.9848	0.9853	0.9789	0.9802	0.9797	0.9797	0.9705	0.9671	0.9679	0.9680	0.9756	0.9761	0.9767	0.9766	0.9992	0.9989	0.9979	1.0000	0.6736	0.6685	0.6559	0.6612	0.6382	0.6513	0.6631	0.6594	0.6177	0.6245	0.6292	0.7758	0.7546	0.7609	0.7635	0.1736	0.1754	0.1773	0.1746	0.2202	0.2219	0.2270	0.2244	0.3935	0.3332
'Lamina_CP_TissueAM'	0.8177	0.8015	0.8054	0.8086	0.8460	0.8170	0.8244	0.8296	0.7006	0.7021	0.7032	0.7107	0.7055	0.7075	0.7070	0.6695	0.6679	0.6662	0.6668	0.7071	0.7053	0.7061	0.7066	0.6653	0.6658	0.6655	0.6658	0.6570	0.6551	0.6555	0.6553	0.6667	0.6669	0.6673	0.6671	0.6743	0.6740	0.6733	0.6736	1.0000	0.9932	0.9697	0.9838	0.8303	0.8474	0.8646	0.8588	0.6407	0.6468	0.6507	0.7679	0.7476	0.7527	0.7565	0.6558	0.6646	0.6772	0.6695	0.6952	0.7046	0.7207	0.7118	0.2673	0.2894
'Lamina_CP_TissueAM_60M'	0.8117	0.7955	0.7994	0.8026	0.8398	0.8111	0.8184	0.8236	0.6954	0.6968	0.6980	0.7054	0.7002	0.7021	0.7017	0.6645	0.6629	0.6612	0.6617	0.7017	0.7000	0.7007	0.7013	0.6601	0.6607	0.6604	0.6606	0.6518	0.6499	0.6503	0.6502	0.6616	0.6618	0.6622	0.6620	0.6691	0.6688	0.6682	0.6685	0.9932	1.0000	0.9633	0.9773	0.8246	0.8416	0.8586	0.8528	0.6363	0.6424	0.6462	0.7625	0.7424	0.7474	0.7512	0.6521	0.6607	0.6733	0.6656	0.6910	0.7004	0.7165	0.7075	0.2652	0.2874
'Lamina_CP_TissueAM_40M'	0.7955	0.7797	0.7836	0.7867	0.8223	0.7942	0.8013	0.8063	0.6818	0.6832	0.6843	0.6920	0.6869	0.6888	0.6884	0.6523	0.6508	0.6492	0.6498	0.6884	0.6867	0.6874	0.6879	0.6483	0.6488	0.6486	0.6488	0.6404	0.6386	0.6390	0.6388	0.6493	0.6495	0.6499	0.6497	0.6565	0.6562	0.6556	0.6559	0.9697	0.9633	1.0000	0.9557	0.8055	0.8221	0.8387	0.8330	0.6212	0.6271	0.6309	0.7454	0.7257	0.7307	0.7344	0.6335	0.6420	0.6541	0.6466	0.6722	0.6812	0.6968	0.6882	0.2606	0.2812
'Lamina_CP_TissueAM_50M'	0.8036	0.7876	0.7915	0.7947	0.8317	0.8033	0.8105	0.8156	0.6883	0.6897	0.6909	0.6985	0.6933	0.6953	0.6948	0.6570	0.6554	0.6538	0.6544	0.6941	0.6924	0.6931	0.6937	0.6527	0.6533	0.6531	0.6533	0.6452	0.6433	0.6437	0.6435	0.6540	0.6542	0.6546	0.6544	0.6619	0.6616	0.6610	0.6612	0.9838	0.9773	0.9557	1.0000	0.8165	0.8333	0.8501	0.8444	0.6306	0.6367	0.6405	0.7555	0.7356	0.7406	0.7443	0.6461	0.6547	0.6672	0.6596	0.6850	0.6942	0.7101	0.7012	0.2621	0.2846
'Lamina_GS_TissueAM_40M'	0.7695	0.7540	0.7580	0.7608	0.8175	0.7891	0.7967	0.8012	0.6531	0.6554	0.6564	0.6756	0.6707	0.6724	0.6725	0.6464	0.6443	0.6432	0.6433	0.6650	0.6636	0.6640	0.6644	0.6425	0.6429	0.6426	0.6428	0.6394	0.6376	0.6379	0.6380	0.6346	0.6349	0.6352	0.6350	0.6388	0.6385	0.6380	0.6382	0.8303	0.8246	0.8055	0.8165	1.0000	0.9405	0.9608	0.9546	0.5603	0.5657	0.5694	0.6760	0.6581	0.6631	0.6659	0.5722	0.5797	0.5907	0.5840	0.5970	0.6049	0.6188	0.6112	0.2554	0.2522
'Lamina_GS_TissueAM_50M'	0.7855	0.7697	0.7737	0.7766	0.8339	0.8051	0.8126	0.8174	0.6670	0.6692	0.6701	0.6894	0.6845	0.6862	0.6863	0.6605	0.6585	0.6573	0.6574	0.6790	0.6775	0.6780	0.6784	0.6560	0.6563	0.6560	0.6562	0.6525	0.6507	0.6510	0.6510	0.6484	0.6486	0.6489	0.6487	0.6520	0.6517	0.6512	0.6513	0.8474	0.8416	0.8221	0.8333	0.9405	1.0000	0.9799	0.9738	0.5713	0.5766	0.5804	0.6897	0.6713	0.6764	0.6794	0.5831	0.5907	0.6020	0.5951	0.6087	0.6168	0.6308	0.6231	0.2610	0.2574
'Lamina_GS_TissueAM'	0.8003	0.7841	0.7883	0.7912	0.8500	0.8207	0.8284	0.8331	0.6791	0.6815	0.6824	0.7021	0.6971	0.6987	0.6988	0.6720	0.6700	0.6687	0.6689	0.6912	0.6898	0.6902	0.6906	0.6676	0.6680	0.6677	0.6679	0.6641	0.6622	0.6626	0.6626	0.6599	0.6601	0.6604	0.6602	0.6638	0.6635	0.6629	0.6631	0.8646	0.8586	0.8387	0.8501	0.9608	0.9799	1.0000	0.9931	0.5827	0.5882	0.5920	0.7032	0.6844	0.6897	0.6927	0.5966	0.6043	0.6159	0.6089	0.6226	0.6309	0.6453	0.6374	0.2656	0.2623
'Lamina_GS_TissueAM_60M'	0.7954	0.7793	0.7835	0.7864	0.8447	0.8155	0.8231	0.8279	0.6751	0.6775	0.6784	0.6980	0.6930	0.6946	0.6947	0.6683	0.6662	0.6650	0.6651	0.6873	0.6859	0.6863	0.6867	0.6641	0.6645	0.6642	0.6643	0.6604	0.6585	0.6589	0.6589	0.6565	0.6567	0.6570	0.6569	0.6600	0.6597	0.6592	0.6594	0.8588	0.8528	0.8330	0.8444	0.9546	0.9738	0.9931	1.0000	0.5789	0.5844	0.5882	0.6986	0.6799	0.6852	0.6882	0.5919	0.5996	0.6111	0.6041	0.6179	0.6262	0.6404	0.6325	0.2642	0.2607
'Lamina_GS_Nuclei_40M'	0.6734	0.6595	0.6633	0.6663	0.6874	0.6634	0.6703	0.6734	0.6931	0.6952	0.6960	0.7283	0.7212	0.7239	0.7241	0.5431	0.5409	0.5403	0.5406	0.6438	0.6424	0.6431	0.6433	0.5958	0.5962	0.5957	0.5960	0.6174	0.6153	0.6163	0.6162	0.6364	0.6372	0.6374	0.6371	0.6179	0.6177	0.6174	0.6177	0.6407	0.6363	0.6212	0.6306	0.5603	0.5713	0.5827	0.5789	1.0000	0.9551	0.9604	0.9105	0.8863	0.8927	0.8973	0.4176	0.4228	0.4308	0.4259	0.4211	0.4276	0.4370	0.4319	0.2179	0.4179
'Lamina_GS_Nuclei_50M'	0.6802	0.6662	0.6701	0.6730	0.6935	0.6694	0.6764	0.6795	0.6998	0.7019	0.7027	0.7347	0.7275	0.7303	0.7305	0.5492	0.5470	0.5464	0.5467	0.6508	0.6494	0.6501	0.6504	0.6024	0.6027	0.6022	0.6026	0.6234	0.6212	0.6223	0.6221	0.6431	0.6439	0.6441	0.6439	0.6246	0.6245	0.6241	0.6245	0.6468	0.6424	0.6271	0.6367	0.5657	0.5766	0.5882	0.5844	0.9551	1.0000	0.9692	0.9175	0.8931	0.8994	0.9041	0.4208	0.4261	0.4341	0.4292	0.4244	0.4310	0.4405	0.4353	0.2205	0.4207
'Lamina_GS_Nuclei_60M'	0.6854	0.6713	0.6751	0.6781	0.6986	0.6742	0.6812	0.6845	0.7047	0.7068	0.7078	0.7400	0.7328	0.7356	0.7358	0.5539	0.5517	0.5511	0.5514	0.6557	0.6542	0.6550	0.6552	0.6073	0.6076	0.6072	0.6075	0.6285	0.6264	0.6275	0.6273	0.6479	0.6487	0.6489	0.6487	0.6294	0.6293	0.6289	0.6292	0.6507	0.6462	0.6309	0.6405	0.5694	0.5804	0.5920	0.5882	0.9604	0.9692	1.0000	0.9223	0.8977	0.9041	0.9089	0.4222	0.4274	0.4355	0.4305	0.4260	0.4327	0.4422	0.4370	0.2224	0.4229
'Lamina_CP_Nuclei'	0.8425	0.8254	0.8297	0.8332	0.8341	0.8054	0.8123	0.8175	0.8336	0.8353	0.8366	0.8515	0.8443	0.8469	0.8469	0.7256	0.7233	0.7223	0.7228	0.7994	0.7975	0.7984	0.7988	0.7495	0.7503	0.7500	0.7501	0.7640	0.7616	0.7624	0.7623	0.7738	0.7745	0.7749	0.7746	0.7763	0.7759	0.7753	0.7758	0.7679	0.7625	0.7454	0.7555	0.6760	0.6897	0.7032	0.6986	0.9105	0.9175	0.9223	1.0000	0.9734	0.9800	0.9852	0.4402	0.4455	0.4538	0.4485	0.4674	0.4741	0.4848	0.4789	0.2918	0.4191
'Lamina_CP_Nuclei_40M'	0.8197	0.8032	0.8073	0.8107	0.8117	0.7838	0.7906	0.7955	0.8112	0.8128	0.8140	0.8284	0.8214	0.8240	0.8239	0.7059	0.7037	0.7027	0.7033	0.7776	0.7757	0.7766	0.7769	0.7288	0.7295	0.7292	0.7293	0.7431	0.7407	0.7416	0.7414	0.7523	0.7529	0.7533	0.7531	0.7550	0.7547	0.7541	0.7546	0.7476	0.7424	0.7257	0.7356	0.6581	0.6713	0.6844	0.6799	0.8863	0.8931	0.8977	0.9734	1.0000	0.9531	0.9585	0.4292	0.4345	0.4425	0.4373	0.4556	0.4622	0.4726	0.4669	0.2837	0.4078
'Lamina_CP_Nuclei_50M'	0.8263	0.8095	0.8138	0.8172	0.8185	0.7904	0.7971	0.8022	0.8173	0.8190	0.8203	0.8356	0.8285	0.8311	0.8311	0.7114	0.7092	0.7081	0.7086	0.7840	0.7822	0.7830	0.7834	0.7356	0.7364	0.7360	0.7362	0.7501	0.7477	0.7485	0.7484	0.7592	0.7598	0.7602	0.7600	0.7613	0.7610	0.7604	0.7609	0.7527	0.7474	0.7307	0.7406	0.6631	0.6764	0.6897	0.6852	0.8927	0.8994	0.9041	0.9800	0.9531	1.0000	0.9655	0.4314	0.4367	0.4447	0.4395	0.4579	0.4645	0.4750	0.4693	0.2863	0.4109
'Lamina_CP_Nuclei_60M'	0.8295	0.8127	0.8169	0.8204	0.8214	0.7932	0.8000	0.8051	0.8207	0.8223	0.8235	0.8384	0.8314	0.8339	0.8339	0.7141	0.7118	0.7108	0.7114	0.7868	0.7850	0.7858	0.7862	0.7377	0.7385	0.7381	0.7383	0.7521	0.7497	0.7505	0.7503	0.7617	0.7623	0.7627	0.7625	0.7640	0.7636	0.7631	0.7635	0.7565	0.7512	0.7344	0.7443	0.6659	0.6794	0.6927	0.6882	0.8973	0.9041	0.9089	0.9852	0.9585	0.9655	1.0000	0.4344	0.4396	0.4478	0.4425	0.4611	0.4677	0.4782	0.4725	0.2872	0.4129
'Lamina_GS_NucleiAM_40M'	0.3576	0.3508	0.3522	0.3540	0.4553	0.4394	0.4460	0.4467	0.2417	0.2422	0.2427	0.2607	0.2576	0.2592	0.2585	0.1794	0.1787	0.1786	0.1785	0.2090	0.2083	0.2087	0.2093	0.1614	0.1614	0.1613	0.1614	0.1650	0.1646	0.1647	0.1647	0.1772	0.1773	0.1773	0.1772	0.1737	0.1737	0.1737	0.1736	0.6558	0.6521	0.6335	0.6461	0.5722	0.5831	0.5966	0.5919	0.4176	0.4208	0.4222	0.4402	0.4292	0.4314	0.4344	1.0000	0.9470	0.9671	0.9589	0.8485	0.8614	0.8813	0.8695	0.0579	0.1555
'Lamina_GS_NucleiAM_50M'	0.3618	0.3548	0.3562	0.3581	0.4609	0.4448	0.4515	0.4522	0.2445	0.2450	0.2455	0.2637	0.2606	0.2622	0.2615	0.1808	0.1801	0.1800	0.1799	0.2112	0.2105	0.2109	0.2115	0.1629	0.1629	0.1628	0.1629	0.1667	0.1662	0.1663	0.1664	0.1790	0.1790	0.1790	0.1790	0.1756	0.1755	0.1755	0.1754	0.6646	0.6607	0.6420	0.6547	0.5797	0.5907	0.6043	0.5996	0.4228	0.4261	0.4274	0.4455	0.4345	0.4367	0.4396	0.9470	1.0000	0.9802	0.9689	0.8598	0.8728	0.8930	0.8811	0.0584	0.1572
'Lamina_GS_NucleiAM'	0.3677	0.3606	0.3621	0.3640	0.4690	0.4526	0.4595	0.4602	0.2480	0.2486	0.2490	0.2675	0.2643	0.2660	0.2652	0.1833	0.1826	0.1825	0.1824	0.2139	0.2132	0.2136	0.2142	0.1645	0.1644	0.1643	0.1645	0.1682	0.1678	0.1679	0.1679	0.1809	0.1810	0.1810	0.1809	0.1774	0.1774	0.1774	0.1773	0.6772	0.6733	0.6541	0.6672	0.5907	0.6020	0.6159	0.6111	0.4308	0.4341	0.4355	0.4538	0.4425	0.4447	0.4478	0.9671	0.9802	1.0000	0.9892	0.8770	0.8903	0.9109	0.8987	0.0588	0.1601
'Lamina_GS_NucleiAM_60M'	0.3630	0.3559	0.3574	0.3593	0.4634	0.4473	0.4540	0.4548	0.2447	0.2452	0.2457	0.2639	0.2608	0.2625	0.2617	0.1808	0.1800	0.1799	0.1799	0.2108	0.2100	0.2104	0.2110	0.1619	0.1618	0.1617	0.1619	0.1657	0.1652	0.1653	0.1654	0.1781	0.1782	0.1782	0.1781	0.1747	0.1747	0.1747	0.1746	0.6695	0.6656	0.6466	0.6596	0.5840	0.5951	0.6089	0.6041	0.4259	0.4292	0.4305	0.4485	0.4373	0.4395	0.4425	0.9589	0.9689	0.9892	1.0000	0.8674	0.8806	0.9009	0.8889	0.0578	0.1582
'Lamina_CP_NucleiAM_40M'	0.4076	0.3996	0.4015	0.4034	0.4882	0.4711	0.4778	0.4792	0.2835	0.2841	0.2846	0.2959	0.2927	0.2944	0.2936	0.2268	0.2263	0.2258	0.2257	0.2564	0.2556	0.2560	0.2566	0.2071	0.2071	0.2070	0.2071	0.2085	0.2081	0.2081	0.2081	0.2200	0.2201	0.2201	0.2200	0.2204	0.2203	0.2202	0.2202	0.6952	0.6910	0.6722	0.6850	0.5970	0.6087	0.6226	0.6179	0.4211	0.4244	0.4260	0.4674	0.4556	0.4579	0.4611	0.8485	0.8598	0.8770	0.8674	1.0000	0.9470	0.9630	0.9520	0.0778	0.1594
'Lamina_CP_NucleiAM_50M'	0.4120	0.4039	0.4058	0.4078	0.4941	0.4766	0.4837	0.4850	0.2866	0.2870	0.2876	0.2989	0.2957	0.2974	0.2966	0.2280	0.2275	0.2271	0.2269	0.2585	0.2576	0.2581	0.2587	0.2082	0.2082	0.2081	0.2082	0.2098	0.2093	0.2093	0.2094	0.2215	0.2215	0.2216	0.2215	0.2220	0.2220	0.2219	0.2219	0.7046	0.7004	0.6812	0.6942	0.6049	0.6168	0.6309	0.6262	0.4276	0.4310	0.4327	0.4741	0.4622	0.4645	0.4677	0.8614	0.8728	0.8903	0.8806	0.9470	1.0000	0.9775	0.9659	0.0781	0.1617
'Lamina_CP_NucleiAM'	0.4215	0.4133	0.4151	0.4171	0.5053	0.4875	0.4946	0.4960	0.2932	0.2936	0.2942	0.3057	0.3025	0.3041	0.3033	0.2335	0.2329	0.2325	0.2323	0.2645	0.2636	0.2640	0.2647	0.2130	0.2130	0.2129	0.2130	0.2146	0.2141	0.2142	0.2142	0.2266	0.2267	0.2267	0.2266	0.2272	0.2271	0.2270	0.2270	0.7207	0.7165	0.6968	0.7101	0.6188	0.6308	0.6453	0.6404	0.4370	0.4405	0.4422	0.4848	0.4726	0.4750	0.4782	0.8813	0.8930	0.9109	0.9009	0.9630	0.9775	1.0000	0.9868	0.0799	0.1653
'Lamina_CP_NucleiAM_60M'	0.4165	0.4083	0.4102	0.4122	0.4993	0.4817	0.4888	0.4901	0.2898	0.2903	0.2908	0.3024	0.2992	0.3009	0.3001	0.2310	0.2304	0.2300	0.2299	0.2616	0.2606	0.2611	0.2617	0.2109	0.2109	0.2108	0.2110	0.2125	0.2121	0.2120	0.2121	0.2245	0.2245	0.2246	0.2245	0.2246	0.2245	0.2245	0.2244	0.7118	0.7075	0.6882	0.7012	0.6112	0.6231	0.6374	0.6325	0.4319	0.4353	0.4370	0.4789	0.4669	0.4693	0.4725	0.8695	0.8811	0.8987	0.8889	0.9520	0.9659	0.9868	1.0000	0.0791	0.1635
'Liver_CP_Tissue'	0.3794	0.3718	0.3735	0.3749	0.3536	0.3415	0.3431	0.3465	0.3770	0.3781	0.3785	0.3738	0.3717	0.3721	0.3725	0.3907	0.3899	0.3892	0.3888	0.3931	0.3924	0.3925	0.3926	0.3968	0.3973	0.3972	0.3971	0.3931	0.3918	0.3920	0.3922	0.3863	0.3865	0.3867	0.3867	0.3940	0.3938	0.3933	0.3935	0.2673	0.2652	0.2606	0.2621	0.2554	0.2610	0.2656	0.2642	0.2179	0.2205	0.2224	0.2918	0.2837	0.2863	0.2872	0.0579	0.0584	0.0588	0.0578	0.0778	0.0781	0.0799	0.0791	1.0000	0.8193
'Lamina_GS_Nuclei'	0.3459	0.3388	0.3407	0.3422	0.3455	0.3333	0.3362	0.3384	0.3578	0.3591	0.3595	0.3740	0.3707	0.3718	0.3721	0.3142	0.3130	0.3129	0.3127	0.3431	0.3425	0.3427	0.3428	0.3298	0.3300	0.3298	0.3299	0.3390	0.3379	0.3384	0.3384	0.3403	0.3407	0.3408	0.3407	0.3334	0.3333	0.3331	0.3332	0.2894	0.2874	0.2812	0.2846	0.2522	0.2574	0.2623	0.2607	0.4179	0.4207	0.4229	0.4191	0.4078	0.4109	0.4129	0.1555	0.1572	0.1601	0.1582	0.1594	0.1617	0.1653	0.1635	0.8193	1.0000
