## This is a tabular format curated from sambamba/samtools flagstat output.
## Author: Sichong Peng (scpeng@ucdavis.edu)
File,Total(QC passed),Total(QC failed),Duplicates(QC passed),Mapped(QC passed),Mapped%(QC passed),Paired(QC passed),R1(QC passed),R2(QC passed),Properly paired(QC passed),Properly paired%(QC passed),Paired mapped(QC passed),Mate only(QC passed),Mate only%(QC passed),Mate mapped to diff chr(QC passed), Mate mapped to diff chr(mapQ>5)(QC passed),Duplicates(QC failed),Mapped(QC failed),Mapped%(QC failed),Paired(QC failed),R1(QC failed),R2(QC failed),Properly paired(QC failed),Properly paired%(QC failed),Paired mapped(QC failed),Mate only(QC failed),Mate only%(QC failed),Mate mapped to diff chr(QC failed), Mate mapped to diff chr(mapQ>5)(QC failed)
Liver_CP_TissueAM_60M_filtered,49068246,0,5539647,49068246,100.00%,48824467,24632166,24436080,48739624,99.33%,48824467,243779,0.50%,34293,15852,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_40M_dedup,1795706,0,0,1795706,100.00%,1789675,897888,897818,1681434,93.64%,1789675,6031,0.34%,59675,27207,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM,79333136,0,4487917,77386434,97.55%,76436216,39666568,39666568,75662486,95.37%,76436216,950218,1.20%,463134,76866,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_60M_dedup,43528599,0,0,43528599,100.00%,43364478,21830060,21698539,43280812,99.43%,43364478,164121,0.38%,33918,15562,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_dedup,63171142,0,0,63171142,100.00%,62590556,31849071,31322071,62153540,98.39%,62590556,580586,0.92%,82740,33024,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_filtered,145247393,0,31818468,145247393,100.00%,144669052,72894256,72353137,142802216,98.32%,144669052,578341,0.40%,295648,165704,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_40M_chrM,4073300,0,3497153,4040507,99.19% ,4007714,2036878,2036422,4004906,98.32% ,4007714,32793,0.81% ,786,577,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_NucleiAM_50M,49929918,0,15383867,49025252,98.19%,48714374,24964959,24964959,48573254,97.28%,48714374,310878,0.62%,50804,19434,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_50M,50656929,0,13163650,49984284,98.67%,49759260,25316662,25316662,49460912,97.68%,49759260,201419,0.40%,185172,80547,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_40M_chrM,24782,0,5353,24515,98.92% ,24248,12401,12381,24136,97.39% ,24248,267,1.08% ,46,15,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Tissue_filtered,164877309,0,43835666,164877309,100.00%,164145826,82780416,82096893,163387250,99.10%,164145826,731483,0.44%,343426,206104,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiFirst_dedup,21746282,0,0,21746282,100.00%,21656880,10913822,10832460,21071574,96.90%,21656880,89402,0.41%,177182,101559,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_40M,39642589,0,4765048,39237765,98.98%,38984028,19811326,19811326,38780112,97.87%,38984028,233800,0.59%,137656,68572,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_60M_chrM,1027010,0,715581,1024483,99.75% ,1021928,513126,513856,1011886,98.53% ,1021928,2527,0.25% ,2892,1958,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Nuclei_40M_chrM,321524,0,181821,320806,99.78% ,320076,159739,161773,316366,98.40% ,320076,718,0.22% ,2460,1750,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiAM_60M,60156346,0,14074121,58831742,97.80%,58326892,30078173,30078173,58259976,96.85%,58326892,504850,0.84%,50834,20102,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_dedup,59922787,0,0,59922787,100.00%,59285749,30256042,29666745,58914756,98.32%,59285749,637038,1.06%,81625,32526,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_60M_dedup,37425394,0,0,37425394,100.00%,37303626,18769722,18655672,36730496,98.14%,37303626,121768,0.33%,92840,51864,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_50M_chrM,4722039,0,3883532,4700882,99.55% ,4679725,2361325,2360714,4676382,99.03% ,4679725,21157,0.45% ,963,626,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_TissueAM_40M,39857342,0,1530926,39246891,98.47%,39102944,19928671,19928671,37918912,95.14%,39102944,143947,0.36%,212894,40538,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_40M,40044141,0,7152459,39576545,98.83%,39240014,20012123,20012123,39041316,97.54%,39240014,316636,0.79%,161236,85067,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_50M_dedup,26789989,0,0,26789989,100.00%,26726965,13425166,13364823,26388922,98.50%,26726965,63024,0.24%,65205,38993,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_50M_chrM,185504,0,61672,184952,99.70% ,184400,92772,92732,177078,95.46% ,184400,552,0.30% ,1754,714,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_TissueAM_40M_chrM,3758086,0,3090773,3741291,99.55% ,3724496,1879280,1878806,3721814,99.03% ,3724496,16795,0.45% ,746,480,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_NucleiAM,82558658,0,3842849,80584995,97.61%,79738964,41279329,41279329,78970828,95.65%,79738964,846031,1.02%,390408,71550,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_40M_chrM,149013,0,49803,148562,99.70% ,148111,74526,74487,142102,95.36% ,148111,451,0.30% ,1395,585,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_NucleiAM_50M,50355372,0,2342420,49152702,97.61%,48636904,25177686,25177686,48168652,95.66%,48636904,515798,1.02%,237876,43669,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_chrM,49622,0,10572,49019,98.78% ,48416,24835,24787,48176,97.09% ,48416,603,1.22% ,98,28,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Nuclei_40M_dedup,28369469,0,0,28369469,100.00%,28172363,14282274,14087195,28049408,98.87%,28172363,197106,0.69%,91645,61225,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_50M_chrM,395553,0,224187,394641,99.77% ,393711,196520,199015,389240,98.41% ,393711,912,0.23% ,3001,2116,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_TissueAM_50M_dedup,36627217,0,0,36627217,100.00%,36488866,18369113,18258104,36418208,99.43%,36488866,138351,0.38%,28646,13103,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiFirst_dedup,55561407,0,0,55561407,100.00%,55348047,27880487,27680920,54144042,97.45%,55348047,213360,0.38%,187667,95968,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_40M_filtered,31871353,0,548763,31871353,100.00%,31752895,15976634,15894719,30739104,96.45%,31752895,118458,0.37%,68883,24704,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_60M_chrM,222747,0,74280,222076,99.70% ,221405,111399,111348,212508,95.40% ,221405,671,0.30% ,2109,880,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiAM_50M_filtered,39148349,0,6795811,39148349,100.00%,38805191,19722063,19426286,38767540,99.03%,38805191,343158,0.88%,27375,12375,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue,170233737,0,34852938,168979864,99.26%,168236306,85075156,85075156,167070428,98.19%,168236306,660133,0.39%,465988,233591,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_dedup,54946431,0,0,54946431,100.00%,54759958,27538235,27408196,52998734,96.46%,54759958,186473,0.34%,119644,42840,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_dedup,123910189,0,0,123910189,100.00%,123659163,62037742,61872447,120811608,97.50%,123659163,251026,0.20%,546241,233231,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_60M_chrM,5608678,0,4612983,5583397,99.55% ,5558116,2804712,2803966,5554134,99.03% ,5558116,25281,0.45% ,1158,745,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Tissue_50M_chrM,841969,0,585590,840033,99.77% ,838073,420631,421314,829602,98.53% ,838073,1936,0.23% ,2477,1679,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiFirst_filtered,108561123,0,86814841,108561123,100.00%,108245776,54427373,54133750,107500856,99.02%,108245776,315347,0.29%,209360,120987,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiFirst_filtered,108561123,0,86814841,108561123,100.00%,108245776,54427373,54133750,107500856,99.02%,108245776,315347,0.29%,209360,120987,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_40M_chrM,684093,0,475975,682421,99.76% ,680723,341768,342299,673916,98.52% ,680723,1672,0.24% ,2001,1357,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Nuclei_60M_chrM,480945,0,272207,479913,99.79% ,478863,238978,241949,473374,98.43% ,478863,1032,0.21% ,3613,2545,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_NucleiAM_60M_filtered,47257255,0,1142819,47257255,100.00%,46753322,23856454,23400801,46431660,98.25%,46753322,503933,1.07%,60544,24178,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM,67779096,0,13278590,67158621,99.08%,66980854,33889548,33889548,66782236,98.53%,66980854,177767,0.26%,59972,21414,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_60M_dedup,38703808,0,0,38703808,100.00%,38459065,19456457,19247351,38415632,99.26%,38459065,244743,0.63%,31783,14199,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_40M_dedup,30084826,0,0,30084826,100.00%,29987440,15072031,15012795,29143188,96.87%,29987440,97386,0.32%,61878,22888,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_40M_filtered,27822974,0,4143758,27822974,100.00%,27635562,13983848,13839126,27550204,99.02%,27635562,187412,0.67%,25212,10392,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_chrM,142780610,0,141059581,142629892,99.89% ,142472189,71412438,71361187,142228596,99.62% ,142472189,150718,0.11% ,100465,72866,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Nuclei_40M_chrM,234372,0,107766,233658,99.70% ,232935,116553,117810,230048,98.16% ,232935,714,0.30% ,1591,1128,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Tissue_60M_chrM,726145,0,465219,723962,99.70% ,721742,362555,363553,714916,98.46% ,721742,2183,0.30% ,2142,1544,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Nuclei_50M,49564807,0,5953121,49059506,98.98%,48743024,24769757,24769757,48487922,97.88%,48743024,291189,0.59%,172088,86177,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_50M_filtered,38640055,0,1036176,38640055,100.00%,38503246,19360783,19279272,37437504,96.89%,38503246,136809,0.35%,77634,28744,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_50M_filtered,39211629,0,8591863,39211629,100.00%,39055013,19679106,19532523,38549924,98.31%,39055013,156616,0.40%,80343,45117,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_60M_dedup,42549430,0,0,42549430,100.00%,42254621,21420501,21128929,42071458,98.88%,42254621,294809,0.69%,136405,90910,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_50M_dedup,37739962,0,0,37739962,100.00%,37338828,19055425,18684537,37105174,98.32%,37338828,401134,1.06%,51440,20399,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_50M_filtered,41316826,0,7500413,41316826,100.00%,41138461,20743577,20573249,40862138,98.90%,41138461,178365,0.43%,85219,51827,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_50M_dedup,2051524,0,0,2051524,100.00%,2044676,1025841,1025683,1920796,93.63%,2044676,6848,0.33%,67982,31079,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_50M,49284040,0,8800104,48709429,98.83%,48295272,24629813,24629813,48050928,97.55%,48295272,389743,0.79%,198500,104545,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_50M,50348614,0,1936013,49578088,98.47%,49396206,25174307,25174307,47899820,95.14%,49396206,181882,0.36%,268678,50918,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_40M,39625322,0,1845214,38677267,97.61%,38271234,19812661,19812661,37903514,95.65%,38271234,406033,1.02%,187148,34062,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_60M_filtered,47850337,0,4380419,47850337,100.00%,47717837,23934362,23915975,47569710,99.41%,47717837,132500,0.28%,34411,14548,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_40M_dedup,24954618,0,0,24954618,100.00%,24873343,12515471,12439147,24488876,98.13%,24873343,81275,0.33%,62695,35104,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_60M,59784846,0,10436088,58653452,98.11%,58365898,29892423,29892423,58265330,97.46%,58365898,287554,0.48%,45996,19542,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_50M_chrM,292041,0,134159,291098,99.68% ,290146,145227,146805,286478,98.10% ,290146,943,0.32% ,2036,1459,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Nuclei_40M_filtered,34689192,0,6319723,34689192,100.00%,34392670,17490620,17198572,34265760,98.78%,34392670,296522,0.85%,93886,62639,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiFirst_dedup,21746282,0,0,21746282,100.00%,21656880,10913822,10832460,21071574,96.90%,21656880,89402,0.41%,177182,101559,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_60M,61341155,0,56674743,60904612,99.29%,60779406,30663497,30663497,60445504,98.56%,60779406,111045,0.18%,177806,74310,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue,183805321,0,39859543,176118793,95.82%,175424870,91871399,91871399,173155572,94.24%,175424870,631400,0.34%,636168,254946,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_40M_filtered,21475186,0,9080507,21475186,100.00%,21418870,10758704,10716482,21111848,98.31%,21418870,56316,0.26%,58844,26144,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_chrM,7693582,0,6034709,7681434,99.84% ,7668964,3845609,3847651,7631522,99.20% ,7668964,12148,0.16% ,9138,6754,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiFirst_chrM,34580242,0,33146387,34559049,99.94%,34536110,17289838,17288658,34472092,99.69%,34536110,21193,0.06%,18968,13815,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_filtered,145162962,0,17393487,145162962,100.00%,144249906,73026647,72136315,143661742,98.97%,144249906,913056,0.63%,330792,208124,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_60M,59112097,0,37085337,58798640,99.47%,58672080,29549539,29549539,58070030,98.26%,58672080,113541,0.19%,168654,66249,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_50M_chrM,604788,0,386760,602994,99.70% ,601163,301971,302780,595530,98.48% ,601163,1794,0.30% ,1735,1284,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiAM_40M_dedup,26003284,0,0,26003284,100.00%,25838590,13072042,12931242,25809294,99.25%,25838590,164694,0.63%,21428,9562,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_60M_dedup,45121056,0,0,45121056,100.00%,44975207,22604652,22516404,43710278,96.87%,44975207,145849,0.32%,92679,34178,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_chrM,247322,0,82349,246573,99.70% ,245824,123690,123632,235912,95.39% ,245824,749,0.30% ,2334,969,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Nuclei_60M_chrM,351141,0,160479,350073,99.70% ,348994,174591,176539,344702,98.17% ,348994,1068,0.30% ,2446,1702,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_Tissue_40M_chrM,483064,0,310382,481578,99.69% ,480070,241182,241860,475488,98.44% ,480070,1486,0.31% ,1454,1049,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Nuclei_60M_filtered,41818498,0,39250758,41818498,100.00%,41729447,20938074,20880424,41488554,99.21%,41729447,89051,0.21%,104051,49323,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_60M_filtered,52263793,0,6264426,52263793,100.00%,51936233,26291638,25972155,51724300,98.97%,51936233,327560,0.63%,118999,74660,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_dedup,116638290,0,0,116638290,100.00%,116270608,58495250,58143040,115355036,98.90%,116270608,367682,0.32%,282444,170991,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_60M,60048610,0,10716675,59350401,98.84%,58847826,30009546,30009546,58550738,97.55%,58847826,473057,0.79%,241128,127100,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_dedup,48841503,0,0,48841503,100.00%,48739806,24426726,24414777,48575446,99.46%,48739806,101697,0.21%,38112,15904,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_60M,60130032,0,2311054,59210007,98.47%,58992734,30065016,30065016,57204958,95.14%,58992734,217273,0.36%,320146,60769,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_chrM,21613138,0,19310527,21502025,99.49% ,21390912,10808539,10804599,21356250,98.81% ,21390912,111113,0.51% ,8640,6108,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_TissueAM_60M_filtered,48084121,0,827007,48084121,100.00%,47905279,24103804,23980317,46374000,96.44%,47905279,178842,0.37%,103331,36999,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_60M,59466947,0,7150084,58861341,98.98%,58482952,29718382,29718382,58177848,97.88%,58482952,348206,0.59%,205608,101932,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_40M,40424550,0,9461853,39534129,97.80%,39194608,20212275,20212275,39149478,96.85%,39194608,339521,0.84%,34344,13551,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_40M_filtered,31072938,0,751536,31072938,100.00%,30741695,15686272,15386666,30530978,98.26%,30741695,331243,1.07%,39857,15886,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_filtered,142497271,0,25858981,142497271,100.00%,141883179,71541754,70955517,140933778,98.90%,141883179,614092,0.43%,292251,177492,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_50M,50308800,0,8785398,49356891,98.11%,49114924,25154400,25154400,49030234,97.46%,49114924,241967,0.48%,38602,16412,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_50M_filtered,41291302,0,4664085,41291302,100.00%,41085988,20728295,20563007,41014338,99.33%,41085988,205314,0.50%,28958,13343,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_40M_dedup,31322590,0,0,31322590,100.00%,31216393,15698388,15624202,30213218,96.46%,31216393,106197,0.34%,68743,24631,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_60M_chrM,258538,0,106418,257473,99.59% ,256408,129269,129269,249514,96.51% ,256408,1065,0.41% ,1802,678,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_NucleiFirst_filtered,85154699,0,29593292,85154699,100.00%,84824870,42732126,42422573,83556704,98.12%,84824870,329829,0.39%,200572,104648,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_60M_dedup,34945867,0,0,34945867,100.00%,34774016,17538561,17407306,34649336,99.15%,34774016,171851,0.49%,36098,14435,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_filtered,66235084,0,9870043,66235084,100.00%,65788031,33290317,32944767,65583790,99.02%,65788031,447053,0.67%,60379,24838,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_60M_chrM,8346386,0,7234723,8330364,99.81% ,8314342,4173853,4172533,8303528,99.49% ,8314342,16022,0.19% ,3174,1784,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_TissueAM,66421932,0,2571782,61965616,93.29%,61748108,33210966,33210966,60111156,90.50%,61748108,217508,0.33%,281310,59450,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiFirst,152114579,0,85336512,151499613,99.60%,151062506,76036611,76036611,149420236,98.26%,151062506,395750,0.26%,391924,167441,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_dedup,121041643,0,0,121041643,100.00%,120612633,60720983,60320660,119896388,99.05%,120612633,429010,0.35%,322189,192780,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_dedup,63439471,0,0,63439471,100.00%,63037887,31891246,31548225,62966408,99.25%,63037887,401584,0.63%,52389,23346,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_50M,51234404,0,32141740,50963182,99.47%,50853682,25611565,25611565,50330980,98.26%,50853682,98226,0.19%,147072,57803,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_40M_chrM,5533395,0,4795921,5522779,99.81% ,5512163,2767146,2766249,5504954,99.49% ,5512163,10616,0.19% ,2197,1245,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_TissueAM_filtered,53762228,0,4920725,53762228,100.00%,53613460,26891499,26870729,53447242,99.41%,53613460,148768,0.28%,38628,16311,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_60M_dedup,36313595,0,0,36313595,100.00%,36184856,18216742,18096853,35970326,99.05%,36184856,128739,0.35%,96418,57769,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_40M_chrM,170637,0,70047,169939,99.59% ,169241,85302,85335,164682,96.51% ,169241,698,0.41% ,1181,436,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Nuclei_50M,49073824,0,45345333,48724824,99.29%,48625486,24531258,24531258,48358640,98.57%,48625486,88030,0.18%,142014,59343,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_50M_dedup,33816413,0,0,33816413,100.00%,33709677,16959345,16857068,33443034,98.90%,33709677,106736,0.32%,82383,49941,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_50M_chrM,6939231,0,6015023,6925880,99.81% ,6912529,3470139,3469092,6903496,99.49% ,6912529,13351,0.19% ,2659,1499,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_TissueAM_50M_chrM,216500,0,89235,215591,99.58% ,214682,108261,108239,208950,96.51% ,214682,909,0.42% ,1510,536,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_TissueAM_50M_dedup,36153967,0,0,36153967,100.00%,36078969,18081361,18072606,35957348,99.46%,36078969,74998,0.21%,28123,11690,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_40M_dedup,30663529,0,0,30663529,100.00%,30511495,15406274,15257255,30372998,99.05%,30511495,152034,0.50%,78177,49153,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiFirst_dedup,55561407,0,0,55561407,100.00%,55348047,27880487,27680920,54144042,97.45%,55348047,213360,0.38%,187667,95968,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM,98609576,0,23074650,96437597,97.80%,95610018,49304788,49304788,95499918,96.85%,95610018,827579,0.84%,83736,33032,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei,154003201,0,27496691,152208647,98.83%,150917270,76963628,76963628,150156072,97.55%,150917270,1215432,0.79%,618404,326205,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_60M_filtered,32209049,0,13619072,32209049,100.00%,32124583,16136387,16072662,31666496,98.32%,32124583,84466,0.26%,88035,38844,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiFirst_chrM,58105983,0,54815686,58059487,99.92%,58011760,29054664,29050088,57815854,99.50%,58011760,46496,0.08%,34446,24324,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_60M_filtered,52018008,0,9468578,52018008,100.00%,51574801,26227181,25790827,51385634,98.78%,51574801,443207,0.85%,139937,93131,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_chrM,7792733,0,6597454,7787906,99.94% ,7782587,3895363,3896878,7767284,99.68% ,7782587,4827,0.06% ,6655,5106,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_TissueAM_60M_dedup,47257114,0,0,47257114,100.00%,47096706,23684498,23572616,45581252,96.45%,47096706,160408,0.34%,103108,36889,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_50M,50290864,0,11767238,49182032,97.80%,48760330,25145432,25145432,48703954,96.84%,48760330,421702,0.84%,42796,16949,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
